"filename", "language", "C++", "comment", "blank", "total"
"/home/chenmeng/filo2/opt/RuinAndRecreate.hpp", "C++", -147, -45, -49, -241
"/home/chenmeng/filo2/opt/SimulatedAnnealing.hpp", "C++", -36, -18, -14, -68
"/home/chenmeng/filo2/opt/bpp.hpp", "C++", -31, -14, -13, -58
"/home/chenmeng/filo2/opt/routemin.hpp", "C++", -187, -86, -52, -325
"/home/chenmeng/filo2/solution/Solution.cpp", "C++", 316, 60, 51, 427
"/home/chenmeng/filo2/solution/Solution.hpp", "C++", 770, 349, 205, 1324
"/home/chenmeng/filo2/solution/savings.hpp", "C++", 63, 35, 30, 128
"Total", "-", 748, 281, 158, 1187
